Township,Area,State,Tenure,Type,Bedrooms,Bathrooms,Median_Price,Median_PSF,House_Size_SQFT,Transactions,Safety_Score,Crime_Risk,Distance_to_Public_Transport_KM,Distance_to_Mall_KM,Distance_to_School_KM,Distance_to_Hospital_KM,Flood_Risk,Estimated_Rental_Yield_Pct,Historical_Capital_Appreciation_3Yr_Pct,Est_Monthly_Mortgage_RM
TAMAN SRI SENAI South,Senai,Johor,Freehold,Terrace House,3,2,274442,253,"1,085",10,79,Low,7.60,5.10,4.20,7.10,Low,3.29,4.30,
TAMAN LANGAT UTAMA 2 Central,Tanjong Duabelas,Selangor,Leasehold,Terrace House,3,2,391204,232,"1,686",10,77,Low,4.40,1.80,3.80,3.50,Medium,3.32,2.75,
RESIDENSI MESRA Residence,Gurun,Kedah,Freehold,Terrace House,3,2,205314,152,"1,351",85,78,Low,14.10,6.10,3.20,2.30,Low,3.54,2.17,
BANDAR BARU TANGKAK Heights,Tangkak,Johor,Freehold,"Terrace House, Cluster House",4,3,292845,109,"2,687",20,77,Low,7.00,5.60,1.90,10.50,Low,3.01,5.08,
TAMAN PANDAN JAYA Section 2,Ampang,Selangor,Leasehold,Terrace House,3,2,593983,522,"1,138",12,69,Moderate,1.20,1.60,1.30,8.70,Low,2.05,3.25,
SEKSYEN 17 SHAH ALAM Extension,Shah Alam,Selangor,"Freehold, Leasehold","Terrace House, Cluster House",4,3,396525,286,"1,386",11,69,Moderate,3.60,1.10,0.70,20.20,High,2.28,2.61,
Taman Ketiau Section 2,Penampang,Sabah,Leasehold,Flat,2,1,203281,296,687,16,76,Low,13.40,4.50,6.10,2.30,Low,3.83,3.47,
TAMAN SHOREA HARTAMAS Vista,Pasir Panjang,Negeri Sembilan,Freehold,Terrace House,3,2,261899,165,"1,587",73,74,Moderate,13.80,4.80,2.60,5.80,Low,2.62,2.66,
TAMAN SRI SENAI Phase 2,Senai,Johor,Freehold,Terrace House,3,2,316250,271,"1,167",10,79,Low,7.30,3.60,1.60,8.90,Low,2.27,4.31,
TAMAN NUSA PERINTIS I Vista,Iskandar Puteri (Nusajaya),Johor,Freehold,"Terrace House, Bungalow",5,5,602961,192,"3,140",11,78,Low,17.50,1.80,1.40,2.20,Low,4.26,3.38,
TAMAN ARMANI SUNGAI PANDAN 2 (PL8492) Phase 2,Kuantan,Pahang,Freehold,Terrace House,3,2,271825,162,"1,678",11,86,Very Low,6.00,6.20,0.90,3.10,Medium,3.95,3.49,
BANDAR NUSAPUTRA Fasa 3,Puchong,Selangor,"Freehold, Leasehold",Terrace House,3,2,664914,369,"1,802",14,74,Moderate,4.90,2.90,0.50,1.90,High,3.35,3.43,
Amadesa Resort Condominium Section 2,Desa Petaling,Kuala Lumpur,Leasehold,Condominium,3,2,391830,305,"1,285",18,72,Moderate,1.40,4.50,1.30,9.50,Low,4.75,5.03,
LAMAN HARIS @ ECO GRANDEUR Phase 2,Ijok,Selangor,Leasehold,Terrace House,3,2,441284,334,"1,321",35,68,Moderate,2.00,4.60,0.50,5.30,Low,2.39,3.86,
Amadesa Resort Condominium North,Desa Petaling,Kuala Lumpur,Leasehold,Condominium,3,2,331813,316,"1,050",12,72,Moderate,0.60,1.30,2.80,20.60,Low,3.93,3.35,
TAMAN METRO PENGKALAN Residence,Batu Gajah,Perak,Leasehold,Terrace House,3,2,221843,189,"1,174",13,73,Moderate,10.40,5.80,2.20,2.60,Low,3.98,2.05,
TAMAN WIDURI Phase 2,Sungai Jawi,Penang,Freehold,Terrace House,3,2,285470,206,"1,386",29,76,Low,5.20,2.70,3.40,2.20,Medium,2.78,4.31,
BANDAR BESTARI PERMAI Phase 2,Kuala Ketil,Kedah,Freehold,Terrace House,3,2,258944,122,"2,122",17,78,Low,5.90,4.40,1.40,6.50,Low,2.50,1.57,
TAMAN MERANTI JAYA Residence,Puchong,Selangor,Freehold,Terrace House,3,2,947436,513,"1,847",10,71,Moderate,2.20,2.40,4.40,1.90,Low,3.20,3.73,
BANDAR BESTARI PERMAI Section 2,Kuala Ketil,Kedah,Freehold,Terrace House,3,2,242976,129,"1,884",12,85,Very Low,44.30,4.90,2.40,2.50,High,2.68,1.13,
TAMAN GOPENG MEWAH Section 2,Gopeng,Perak,Leasehold,Terrace House,3,2,274239,177,"1,549",27,74,Moderate,6.70,6.70,0.80,1.70,Low,3.20,3.04,
TAMAN SERI MAHKOTA Residence,Sitiawan,Perak,Freehold,Terrace House,3,2,221403,196,"1,130",58,81,Low,26.70,3.90,4.50,4.70,Medium,3.96,1.59,
DESA SETAPAK Vista,Wangsa Maju,Kuala Lumpur,Freehold,Terrace House,3,2,473114,620,763,23,69,Moderate,1.80,5.80,1.10,5.10,Low,3.38,5.07,
TAMAN BERCHAM RAYA North,Tambun,Perak,Leasehold,Terrace House,3,2,177395,168,"1,056",10,78,Low,21.00,5.50,4.90,7.00,Low,2.94,3.33,
SETIA TROPIKA Central,Tampoi,Johor,Freehold,"Cluster House, Terrace House",4,3,793499,449,"1,767",91,80,Low,2.80,4.90,0.60,4.70,Low,4.08,3.12,
PINGGIRAN BAYU (MANTAU) Heights,Rasah,Negeri Sembilan,Freehold,Terrace House,3,2,501885,381,"1,317",22,78,Low,7.60,5.40,4.40,2.70,Low,2.60,1.45,
Desa Intan North,Ayer Itam,Penang,Freehold,Flat,2,1,208973,332,629,17,76,Low,2.00,1.90,1.30,2.60,Low,3.65,5.22,
Andaman Quayside Section 2,Tanjong Tokong,Penang,Freehold,Condominium,3,2,2192319,"1,140","1,923",14,83,Low,1.40,1.40,3.40,4.80,Medium,5.34,2.66,
Pauh Damai Central,Bukit Mertajam,Penang,Freehold,Flat,2,1,209523,333,629,10,79,Low,2.20,6.90,3.20,2.80,Low,4.57,4.19,
TAMAN APAS PERMAI Fasa 3,Tawau,Sabah,Leasehold,Terrace House,3,2,196889,108,"1,823",20,74,Moderate,21.40,5.90,0.60,11.40,Low,2.90,2.58,
TAMAN AMANSARA (AMANSARA SOUTH) Extension,Kepala Batas,Penang,Freehold,Terrace House,3,2,424003,293,"1,447",10,76,Low,13.80,2.60,1.30,2.90,Medium,4.18,3.01,
TAMAN INDERAWASIH Phase 2,Perai,Penang,Freehold,Terrace House,3,2,463503,347,"1,336",20,75,Low,11.10,2.90,0.90,3.40,Low,2.28,2.60,
TAMAN SEJATI KEHIJAUAN Residence,Klang,Selangor,Freehold,Terrace House,3,2,1161206,542,"2,142",18,68,Moderate,3.40,5.80,3.20,3.00,Low,2.84,3.51,
Tiffani Kiara Residence,Mont Kiara,Kuala Lumpur,Freehold,Condominium,3,2,1051576,538,"1,955",10,65,Moderate,0.80,2.90,3.60,1.70,Low,4.19,4.01,
PELABUHAN KLANG Phase 2,Port Klang,Selangor,Freehold,Terrace House,3,2,475227,229,"2,075",20,69,Moderate,1.40,7.60,0.90,6.00,Medium,3.74,3.68,
"Taman Daya - Jalan Pinang 3, 4 Extension",Tebrau,Johor,Freehold,Flat,2,1,164343,246,668,16,78,Low,3.20,3.60,1.70,9.30,Low,3.96,4.98,
Taman Setia Jaya Heights,Alor Setar,Kedah,Freehold,Flat,2,1,77864,131,594,16,77,Low,9.30,3.80,1.10,4.60,Low,5.15,1.58,
DESA SEJIJAK Extension,Kuching,Sarawak,Leasehold,Terrace House,3,2,163357,161,"1,015",10,80,Low,15.90,8.50,0.90,8.00,Low,2.72,3.06,
TAMAN KLEBANG JAYA Central,Chemor,Perak,Leasehold,Terrace House,3,2,228183,153,"1,491",17,82,Low,16.50,5.00,0.80,7.20,Low,2.18,1.81,
TAMAN CEMPAKA Extension,Ipoh,Perak,"Freehold, Leasehold",Terrace House,3,2,194894,195,999,55,80,Low,11.60,3.80,1.60,1.80,Low,3.03,1.47,
TAMAN SERI IPIL Central,Nibong Tebal,Penang,Freehold,"Semi D, Bungalow",6,6,496212,202,"2,456",32,77,Low,3.60,2.30,1.90,4.70,Low,2.41,3.77,
Mahsuri Flat Extension,Bayan Baru,Penang,Leasehold,Flat,2,1,134956,315,428,31,73,Moderate,11.60,2.60,1.30,2.50,Medium,4.94,5.02,
VIM 3 @ Desa Park North Heights,Kepong,Kuala Lumpur,Leasehold,Service Residence,3,2,357154,761,469,11,72,Moderate,4.40,2.80,5.10,9.10,Low,4.25,2.72,
TAMAN SEMARAK Heights,Tawau,Sabah,Leasehold,"Terrace House, Cluster House",4,3,211520,191,"1,107",21,68,Moderate,10.50,4.00,0.50,12.30,Low,2.50,2.89,
TAMAN RAUB JAYA 3 Section 2,Raub,Pahang,Freehold,Terrace House,3,2,269060,275,978,10,83,Low,41.80,5.70,1.70,7.60,Low,3.24,1.82,
HILL PARK HOME Phase 2,Kajang,Selangor,Freehold,"Terrace House, Semi D",4,4,550773,433,"1,272",11,74,Moderate,8.10,2.10,1.50,15.40,Low,2.47,3.34,
USJ 20 Heights,Subang Jaya,Selangor,Freehold,Terrace House,3,2,946284,492,"1,923",10,69,Moderate,1.50,4.30,0.80,2.10,Medium,2.99,3.03,
Holiday Place (D-Villa Residence) Central,Ampang,Kuala Lumpur,Freehold,Service Residence,3,2,370342,393,942,10,71,Moderate,1.60,1.70,2.70,2.90,Low,4.22,2.82,
TAMAN SUNGAI SERDANG JAYA Heights,Kapar,Selangor,Freehold,Semi D,4,4,516607,146,"3,538",10,68,Moderate,2.30,1.10,4.80,2.20,Low,4.27,5.03,
TAMAN AMANAH Section 2,Tanjong Duabelas,Selangor,Freehold,Terrace House,3,2,407049,256,"1,590",12,69,Moderate,7.60,1.00,0.90,2.60,Medium,2.97,4.72,
Rumah Pangsa College Heights Pajam Residence,Mantin,Negeri Sembilan,Freehold,Flat,2,1,76794,115,668,25,82,Low,36.40,5.10,4.30,10.00,Low,4.74,1.53,
TAMAN CASSIA BAHAU Central,Bahau,Negeri Sembilan,Leasehold,Terrace House,3,2,272956,208,"1,312",57,84,Low,6.60,5.30,1.30,4.70,Low,2.78,2.28,
TAMAN TASIK UTAMA Section 2,Bukit Katil,Melaka,Leasehold,Terrace House,3,2,268165,174,"1,541",127,77,Low,12.50,4.30,0.60,12.70,Medium,3.47,2.36,
AUSTRA HEIGHT Vista,Bintulu,Sarawak,Leasehold,Terrace House,3,2,362993,363,"1,000",13,84,Low,17.10,4.10,0.80,4.10,High,3.09,2.11,
TAMAN MELAWATI Vista,Ulu Klang,Selangor,Freehold,"Terrace House, Semi D",4,4,657714,477,"1,379",47,77,Low,2.20,3.00,0.50,2.10,Medium,3.15,3.80,
TAMAN RIA JAYA FASA 2 Fasa 3,Sungai Petani,Kedah,Freehold,Terrace House,3,2,215613,152,"1,419",45,85,Very Low,8.20,4.90,2.20,2.50,Low,3.25,3.22,
Taman Suria Extension,Penampang,Sabah,Leasehold,Flat,2,1,237113,341,695,18,69,Moderate,34.40,5.10,1.70,10.30,High,4.66,2.81,
"TAMAN IDAMAN, SUNGAI SEGAMAT Phase 2",Segamat,Johor,Leasehold,Terrace House,3,2,107244,75,"1,430",34,73,Moderate,7.80,2.20,0.70,4.20,Low,3.37,4.43,
BANDAR BARU UDA South,Johor Bahru,Johor,"Leasehold, Freehold",Terrace House,3,2,437703,271,"1,615",94,77,Low,11.90,5.10,0.70,3.70,Low,3.33,2.58,
TAMAN CHERAS JAYA North,Balakong,Selangor,Leasehold,Terrace House,3,2,420753,255,"1,650",24,77,Low,5.40,1.10,0.60,4.10,Low,4.30,2.60,
PULAU INDAH Section 2,Klang,Selangor,Freehold,Terrace House,3,2,348123,230,"1,514",109,75,Low,3.90,2.10,3.30,5.20,Low,2.91,2.82,
Seroja Residence,Setia Alam,Selangor,Freehold,Flat,2,1,220454,291,758,12,71,Moderate,1.90,2.80,1.30,4.30,Medium,3.42,4.88,
TAMAN KELADI FASA 1 North,Sungai Petani,Kedah,Freehold,Terrace House,3,2,183274,153,"1,198",28,79,Low,19.10,3.60,3.80,27.00,Low,2.98,3.00,
TAMAN GUAR PERAHU (TAMAN BERKAT) Residence,Kubang Semang,Penang,Freehold,Terrace House,3,2,282056,264,"1,068",13,83,Low,2.00,1.60,0.70,2.10,High,2.63,3.27,
TAMAN JOHOR North,Tampoi,Johor,Freehold,"Terrace House, Bungalow",5,5,546260,257,"2,126",18,73,Moderate,7.70,4.20,2.10,9.00,Low,2.58,4.35,
TAMAN AMAN 3 Section 2,Lahad Datu,Sabah,Leasehold,Terrace House,3,2,411407,187,"2,200",11,71,Moderate,8.00,7.70,1.40,5.30,Low,3.87,2.13,
TAMAN LAGENDA TELUK INTAN South,Teluk Intan,Perak,Leasehold,"Terrace House, Cluster House",4,3,228403,124,"1,842",378,82,Low,22.80,7.00,1.60,4.10,Low,2.87,3.43,
Koi Kinrara North,Puchong,Selangor,Freehold,Service Residence,3,2,553132,563,982,19,73,Moderate,1.20,4.10,1.70,5.60,Low,2.27,3.96,
TAMAN KASA HEIGHTS Section 2,Alor Gajah,Melaka,Freehold,"Cluster House, Town House, Terrace House",4,3,192902,176,"1,096",10,77,Low,6.90,6.30,2.40,5.60,Medium,2.94,1.25,
BANDAR AINSDALE Heights,Labu,Negeri Sembilan,Freehold,Terrace House,3,2,704847,478,"1,475",14,74,Moderate,7.70,5.70,2.20,3.90,Low,2.62,1.07,
TAMAN BERTAM INDAH South,Kepala Batas,Penang,Freehold,"Semi D, Terrace House",4,4,274533,211,"1,301",12,77,Low,1.00,1.80,0.50,4.80,Low,4.02,4.32,
KUALA BESUT Central,Besut,Terengganu,Freehold,"Terrace House, Bungalow, Semi D",4,3,378591,193,"1,962",19,88,Very Low,24.00,6.20,5.90,3.30,Low,3.87,2.30,
M SENYUM SALAK TINGGI Residence,Sepang,Selangor,Leasehold,Terrace House,3,2,585835,475,"1,233",47,71,Moderate,3.80,2.50,0.80,1.80,Medium,3.38,4.60,
TIMUR Vista,Bandar Enstek,Negeri Sembilan,Freehold,Terrace House,3,2,575398,259,"2,222",23,81,Low,15.90,7.90,0.90,5.30,Low,4.09,1.23,
MERIDIN EAST Extension,Pasir Gudang,Johor,Freehold,Terrace House,3,2,498682,384,"1,299",110,72,Moderate,2.10,4.50,1.50,9.90,Low,2.76,4.63,
WANGSA MELAWATI Vista,Wangsa Maju,Kuala Lumpur,Freehold,Terrace House,3,2,714728,531,"1,346",15,71,Moderate,0.70,2.80,1.00,10.60,Low,4.20,5.44,
TAMAN SUNGAI KAPAR INDAH South,Kapar,Selangor,Freehold,Terrace House,3,2,437545,312,"1,402",26,75,Low,0.50,6.90,0.80,1.60,Low,3.47,3.08,
TAMAN SUNGAI RAMBAI MESRA Central,Sungai Rambai,Melaka,Freehold,Cluster House,4,3,329700,146,"2,258",34,81,Low,7.70,3.80,1.00,15.80,Low,2.27,3.37,
BANDAR BARU SRI KLEBANG Residence,Chemor,Perak,Freehold,"Terrace House, Semi D",4,4,494985,222,"2,230",175,80,Low,38.20,6.00,1.20,10.30,Medium,3.00,1.49,
TAMAN PUTERIMAS (KLUANG) Central,Kluang,Johor,Freehold,Terrace House,3,2,286192,112,"2,555",106,76,Low,2.70,2.80,1.10,12.80,Low,4.15,2.81,
TAMAN T&G PHASE 7 North,Kota Marudu,Sabah,Leasehold,Semi D,4,4,509328,249,"2,045",13,72,Moderate,11.60,9.20,3.30,4.40,Low,3.68,2.56,
TAMAN SEGAR PERDANA Residence,Cheras,Selangor,Leasehold,Semi D,4,4,988851,530,"1,866",10,75,Low,0.80,5.70,0.80,4.90,Medium,2.20,3.52,
TAMAN SELASIH INDAH North,Kulim,Kedah,Freehold,Terrace House,3,2,472004,387,"1,220",24,86,Very Low,8.80,15.90,1.00,7.80,Low,2.34,2.51,
RUMAH MAKMUR KAMPUNG TIRAM Section 2,Kuantan,Pahang,Leasehold,Terrace House,3,2,78024,68,"1,147",19,85,Very Low,16.00,5.50,0.60,7.30,Medium,3.10,1.01,
TAMAN SUNGAI KAPAR INDAH South,Kapar,Selangor,Freehold,Terrace House,3,2,398208,377,"1,056",30,69,Moderate,2.80,1.60,2.00,1.90,Medium,4.24,3.55,
D'Ambience Residences (Pangsapuri Ikatan Flora) Section 2,Permas Jaya,Johor,Freehold,Service Residence,3,2,350471,423,829,25,77,Low,2.70,9.80,1.00,2.50,Low,2.59,3.17,
Scott Towers @ Larkin JB Fasa 3,Johor Bahru,Johor,Leasehold,Apartment,3,2,446960,437,"1,023",12,70,Moderate,1.40,1.40,4.90,6.50,Low,3.57,5.50,
TAMAN BEMBAN RAYA Central,Batu Gajah,Perak,Leasehold,Terrace House,3,2,249550,151,"1,653",17,78,Low,12.40,7.60,1.50,4.10,Low,2.68,2.01,
BANDAR BARU BARAT North,Kampar,Perak,Leasehold,Terrace House,3,2,261912,284,922,15,78,Low,9.00,3.80,1.70,2.60,Low,4.00,2.60,
"TAMAN TROPIKA, JEMENTAH Heights",Jementah,Johor,Freehold,Terrace House,3,2,368213,223,"1,651",15,73,Moderate,2.50,12.30,2.90,3.60,Low,2.85,5.19,
TAMAN TASEK MUTIARA Section 2,Ipoh,Perak,Freehold,Terrace House,3,2,375623,225,"1,669",10,82,Low,53.20,4.00,2.80,2.00,Medium,3.72,1.57,
SENTRAL BEHRANG Fasa 3,Ulu Bernam,Perak,Leasehold,"Terrace House, Cluster House",4,3,387305,257,"1,507",13,81,Low,19.40,4.10,0.90,4.80,Low,3.48,3.31,
One Foresta Phase 2,Bayan Lepas,Penang,Freehold,Condominium,3,2,495041,500,990,17,73,Moderate,5.90,5.60,1.10,1.90,Low,4.34,4.70,
TAMAN PERWIRA JAYA Vista,Tapah,Perak,Leasehold,Terrace House,3,2,184953,119,"1,554",25,74,Moderate,13.10,5.40,2.60,2.50,Low,4.23,2.73,
DIAMOND RESIDENCE Residence,Semenyih,Selangor,Freehold,"Semi D, Terrace House",4,4,697645,367,"1,901",10,69,Moderate,1.90,1.70,4.90,13.80,High,2.24,3.23,
"TAMAN LEKIR DAMAI, KAMPUNG KOH Fasa 3",Sitiawan,Perak,Freehold,Terrace House,3,2,268793,160,"1,680",10,81,Low,16.70,17.50,3.00,2.30,Low,3.37,1.69,
Lakeview Apartments South,Selayang,Selangor,Leasehold,Apartment,3,2,261764,318,823,15,72,Moderate,3.50,1.70,1.10,3.00,Low,5.40,3.72,
TAMAN MANJUNG POINT SEKSYEN 2(PL 12194) Section 2,Lumut,Perak,Freehold,"Terrace House, Semi D",4,4,264528,248,"1,067",10,80,Low,23.20,12.90,2.80,6.60,Low,3.05,2.75,
TAMAN SERAI PERDANA South,Bagan Serai,Perak,Freehold,"Terrace House, Semi D",4,4,252316,167,"1,511",24,80,Low,7.80,4.10,4.10,8.50,Low,3.21,1.96,
Straits View Condominium Vista,Permas Jaya,Johor,Freehold,Condominium,3,2,482106,318,"1,516",17,78,Low,5.20,1.50,3.60,2.80,Low,3.38,4.29,
TAMAN LANGAT UTAMA 2 Heights,Tanjong Duabelas,Selangor,Leasehold,Terrace House,3,2,457944,230,"1,991",10,67,Moderate,1.80,1.30,2.10,5.70,High,4.00,4.56,
TAMAN NUSA PERINTIS II Central,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,3,2,522152,434,"1,203",14,71,Moderate,13.30,1.30,1.10,21.20,Low,2.88,2.88,
TAMAN TOK MUDA SEJAHTERA Central,Kapar,Selangor,Freehold,Terrace House,3,2,329250,300,"1,098",10,71,Moderate,3.00,4.40,2.50,2.50,Low,3.88,5.33,
TAMAN AIR PUTIH PERMAI (PL 30779) South,Taiping,Perak,Freehold,Semi D,4,4,358276,120,"2,986",13,75,Low,16.40,3.70,1.00,2.60,Low,2.89,2.82,
BANGI AVENUE North,Bangi,Selangor,Freehold,Terrace House,3,2,549504,395,"1,391",20,75,Low,0.80,1.80,0.80,4.90,Medium,2.94,4.01,
BANDAR BARU SRI KLEBANG Heights,Chemor,Perak,Freehold,"Terrace House, Semi D",4,4,424122,241,"1,760",207,73,Moderate,19.00,4.70,3.10,2.30,Low,3.92,1.21,
TAMAN DESA BUKIT PERMATA Central,Kapar,Selangor,Freehold,Terrace House,3,2,505167,203,"2,489",25,71,Moderate,0.80,2.90,0.50,4.10,Low,3.22,3.14,
Prima Bayu Apartment Heights,Klang,Selangor,Freehold,Apartment,3,2,319152,315,"1,013",16,69,Moderate,1.50,1.20,6.20,7.80,High,3.98,4.43,
BERJAYA PERMAI Fasa 3,Kuantan,Pahang,Leasehold,"Semi D, Terrace House",4,4,195150,91,"2,145",10,78,Low,7.30,5.50,0.60,5.10,Medium,2.06,2.48,
Pangsapuri Saujana Permai 1 Heights,Kajang,Selangor,Freehold,Apartment,3,2,279142,332,841,15,68,Moderate,3.40,5.30,0.80,4.90,Low,3.85,4.51,
PUNCAK BOUGAINVILLEA Extension,Padang Rengas,Perak,Freehold,Terrace House,3,2,305671,193,"1,584",13,74,Moderate,8.50,8.50,2.70,8.00,High,2.33,2.84,
BANDAR SPRINGHILL Vista,Jimah,Negeri Sembilan,Freehold,Terrace House,3,2,223764,177,"1,264",93,80,Low,12.50,9.80,4.70,3.60,Medium,3.48,3.43,
TAMAN ALAMANDA Central,Kuala Kangsar,Perak,Freehold,Terrace House,3,2,248057,202,"1,228",10,76,Low,38.90,6.00,2.80,6.30,Medium,4.10,1.71,
Mkh Boulevard Heights,Kajang,Selangor,Leasehold,Service Residence,3,2,299217,473,633,52,71,Moderate,1.10,17.20,0.50,3.30,Medium,2.06,4.47,
BUKIT RIMAU South,Klang,Selangor,Freehold,"Terrace House, Semi D, Bungalow",7,7,1026668,420,"2,444",18,72,Moderate,2.30,2.00,1.00,2.50,Low,3.39,2.58,
Akasia Phase 2,Klang,Selangor,Freehold,Apartment,3,2,432225,490,882,27,75,Low,1.90,4.70,0.60,6.90,Medium,3.48,4.25,
TAMAN KERSANI Extension,Kuala Pilah,Negeri Sembilan,Freehold,Terrace House,3,2,273007,211,"1,294",82,83,Low,5.30,7.00,0.90,2.70,Medium,4.10,3.27,
TAMAN TELUK GEDUNG INDAH Extension,Klang,Selangor,Leasehold,Terrace House,3,2,426814,284,"1,503",10,72,Moderate,4.40,4.00,2.70,9.90,Low,2.35,3.65,
RMM BANJARAN SERAPI North,Kuching,Sarawak,Leasehold,Terrace House,3,2,264488,132,"2,004",16,81,Low,6.10,9.20,5.50,5.00,Low,2.10,2.17,
HORIZON HILLS Heights,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,3,2,1327412,506,"2,623",141,78,Low,4.90,8.20,3.00,10.50,High,3.73,4.87,
Palm Court Condominium North,Brickfields,Kuala Lumpur,Leasehold,Condominium,3,2,382429,420,911,11,70,Moderate,2.60,1.00,5.60,4.10,Low,4.35,2.79,
Desa Skudai Apartment North,Skudai,Johor,Freehold,Apartment,3,2,342852,297,"1,154",11,71,Moderate,6.90,5.80,0.70,3.50,Low,4.08,5.30,
PRIMA @ SITIAWAN Phase 2,Sitiawan,Perak,Freehold,Terrace House,3,2,262752,191,"1,376",95,82,Low,22.50,4.50,1.00,2.00,Low,2.53,1.80,
TAMAN CEMPAKA Fasa 3,Ipoh,Perak,"Freehold, Leasehold",Terrace House,3,2,214068,210,"1,019",38,73,Moderate,9.40,8.40,0.50,3.00,Low,3.72,2.83,
TAMAN PUNCAK JALIL Heights,Seri Kembangan,Selangor,Leasehold,Terrace House,3,2,585445,406,"1,442",78,71,Moderate,0.50,1.60,1.80,2.70,Low,4.10,3.66,
Damiana Section 2,Ulu Bernam,Perak,Freehold,Apartment,3,2,171676,229,750,17,79,Low,24.30,4.40,1.50,5.70,High,4.38,2.17,
RESIDENSI MESRA Central,Gurun,Kedah,Freehold,Terrace House,3,2,227020,132,"1,720",73,81,Low,16.50,3.90,0.80,2.60,Medium,4.13,2.92,
TAMAN SRI SKUDAI North,Skudai,Johor,Freehold,Terrace House,3,2,427779,280,"1,528",48,72,Moderate,11.90,11.90,1.30,5.20,Low,3.91,2.90,
RESIDENSI MESRA Vista,Gurun,Kedah,Freehold,Terrace House,3,2,254583,133,"1,914",91,87,Very Low,30.80,4.30,1.50,1.80,Medium,3.82,2.08,
"TAMAN BUKIT MUTIARA, MK. LABIS Residence",Labis,Johor,Freehold,Terrace House,3,2,307512,220,"1,398",13,70,Moderate,12.10,1.10,1.40,3.50,Low,2.05,2.68,
LAYANGGKASA Vista,Pasir Gudang,Johor,Freehold,Terrace House,3,2,606748,371,"1,635",148,72,Moderate,5.00,1.40,2.20,21.30,Low,3.56,3.62,
DESA RESTU Phase 2,Sepang,Selangor,Leasehold,Terrace House,3,2,581951,476,"1,223",20,77,Low,1.50,2.50,2.00,14.70,High,4.00,4.70,
Abadi Villa Phase 2,Taman Desa,Kuala Lumpur,Leasehold,Condominium,3,2,496529,372,"1,335",13,71,Moderate,4.40,6.30,1.40,6.80,Low,3.25,4.56,
KAMPUNG PANDAN DALAM South,Ampang,Selangor,Leasehold,"Bungalow, Semi D",5,4,364822,131,"2,785",10,67,Moderate,2.00,1.40,1.60,2.80,Medium,2.44,3.77,
SETIA DAMAI 15 Fasa 3,Setia Alam,Selangor,Freehold,Semi D,4,4,1435931,540,"2,659",10,75,Low,1.00,1.50,1.30,2.10,Low,3.44,5.12,
Axis Residence @ Axis Pandan Central,Ampang,Selangor,Leasehold,Service Residence,3,2,371091,325,"1,142",18,77,Low,5.30,4.60,1.40,4.50,Low,3.05,4.93,
Pelangi Damansara North,Bandar Utama,Selangor,Leasehold,Apartment,3,2,416407,561,742,29,68,Moderate,5.90,1.50,0.70,5.00,Low,5.00,3.74,
SEKSYEN 21-28 BANDAR KLANG Vista,Klang,Selangor,Freehold,"Terrace House, Semi D",4,4,689539,319,"2,162",10,71,Moderate,2.10,13.60,0.70,2.80,Low,3.15,4.60,
BISTARI PERDANA Residence,Pasir Gudang,Johor,Freehold,Terrace House,3,2,457794,393,"1,165",41,75,Low,1.50,7.10,0.60,9.80,Low,2.07,5.17,
TAMAN NUSA INTAN Phase 2,Ampangan,Negeri Sembilan,Freehold,Terrace House,3,2,384117,228,"1,685",18,75,Low,12.40,5.70,1.30,3.00,Low,3.77,1.62,
TAMAN SINAR MENTARI Phase 2,Bedong,Kedah,Freehold,Terrace House,3,2,221497,157,"1,411",14,79,Low,29.40,4.60,1.00,10.10,Medium,4.26,1.45,
Prima Regency Fasa 3,Johor Bahru,Johor,Freehold,Apartment,3,2,359202,313,"1,148",20,71,Moderate,14.90,4.90,2.20,7.90,Low,5.30,3.47,
Bukit Pandan Kondominium 1 Residence,Cheras,Kuala Lumpur,Freehold,Condominium,3,2,360074,300,"1,200",13,65,Moderate,1.10,1.90,1.90,4.00,Low,4.96,3.87,
TAMAN GRANDVIEW Residence,Sandakan,Sabah,Leasehold,Terrace House,3,2,370565,204,"1,816",15,72,Moderate,6.00,8.10,1.10,5.60,Low,3.69,1.39,
TAMAN LAKE VIEW Fasa 3,Taiping,Perak,Freehold,"Terrace House, Semi D",4,4,377297,209,"1,805",10,77,Low,36.50,9.90,1.30,1.80,Low,2.62,1.25,
Amazing Heights Phase 2,Klang,Selangor,Freehold,Apartment,3,2,238535,327,729,13,69,Moderate,1.70,3.20,1.10,6.00,Low,5.19,3.39,
DESA SALAK PEKERTI Central,Sepang,Selangor,Leasehold,Terrace House,3,2,571181,196,"2,914",10,70,Moderate,2.50,10.00,1.50,4.00,Low,3.60,4.96,
TAMAN BUKIT KATIL DAMAI Heights,Bukit Katil,Melaka,Leasehold,"Semi D, Terrace House",4,4,556185,339,"1,641",26,77,Low,56.70,6.70,0.70,2.70,Low,4.07,1.27,
TAMAN INTAN PERDANA Heights,Telok Kemang,Negeri Sembilan,"Freehold, Leasehold",Terrace House,3,2,213080,141,"1,511",15,82,Low,6.00,11.00,2.20,1.60,Medium,4.05,1.49,
TAMAN INDAH JAYA Fasa 3,Kluang,Johor,Freehold,Terrace House,3,2,256442,196,"1,308",11,72,Moderate,7.30,1.70,2.20,7.30,Low,3.69,4.69,
